id,age,category_id,college,depth_position,depth_rank,dob,espn_id,experience,first_name,height,is_active,is_rookie,last_name,league_id,name,number,position,position_group,race,role_id,slug,sports_reference_id,team_id,url,weight,yahoo_id,ast,ast_pct,blk,blk_pct,date,draft_kings_fp,draft_kings_ratio,draft_kings_salary,draft_street_daily_fp,draft_street_daily_ratio,draft_street_daily_salary,draftday_fp,draftday_ratio,draftday_salary,draftster_fp,draftster_ratio,draftster_salary,dreb,dreb_pct,drtg,efg,fanduel_fp,fanduel_ratio,fanduel_salary,fantasy_aces_fp,fantasy_aces_ratio,fantasy_aces_salary,fantasy_feud_fp,fantasy_feud_ratio,fantasy_feud_salary,fantasy_score_fp,fantasy_score_ratio,fantasy_score_salary,fanthrowdown_fp,fanthrowdown_ratio,fanthrowdown_salary,fga,fgm,fta,ftm,game_play_probability,game_start,minutes,nba_game_id,nba_team_id,nerd,opponent_id,oreb,oreb_pct,ortg,p3a,p3m,pf,pts,season,star_street_fp,star_street_ratio,star_street_salary,stl,stl_pct,tov,tov_pct,treb,treb_pct,ts,usg,yahoo_fp,yahoo_ratio,yahoo_salary
44,26,0,,SG,2,1985-10-03,3445,3,Courtney,77,True,False,Lee,2970,Courtney Lee,5,GF,2,5,0,courtney-lee,leeco01,14,,200,0,1.3,0.066,0.2,0.006,2015-11-21,15.7,4.36,3600,12.7,0.0,0,15.08,2.11,7150,14.7,4.2,3500,2.6,0.10800000000000001,109.6,0.637,14.59,3.74,3900,14.75,3.69,4000,12.7,0.24,53700,15.3,4.5,3400,15.15,0.0,0,6.8,2.8,1.5,1.4,0.99,0.59,28.3,19583,14,-10.87,27,0.6,0.023,88.2,3.2,0.8,2.2,7.7,2016,14.43,0.0,0,0.9,0.016,1.1,0.13,3.2,0.063,0.513,14.5,14.99,12.49,12
47,22,0,,SF,1,1989-09-02,6462,0,Marcus,81,True,False,Morris,3198,Marcus Morris,2,F,2,0,0,marcus-morris,morrima03,8,,235,4895,2.1,0.1,0.4,0.01,2015-11-21,26.4,4.33,6100,20.95,0.0,0,24.78,2.5,9900,25.03,4.55,5500,3.7,0.11699999999999999,105.0,0.551,24.95,4.16,6000,25.2,5.42,4650,20.95,0.22,94600,25.9,6.17,4200,25.7,0.0,0,12.8,5.2,3.4,2.5,1.0,1.0,35.0,19580,8,-2.16,30,1.3,0.038,102.0,3.7,1.0,2.0,14.2,2016,24.68,0.0,0,1.1,0.016,1.4,0.09,5.0,0.078,0.497,20.8,25.45,9.43,27
48,21,0,,PF,3,1990-09-20,6464,0,Donatas,84,False,False,Motiejunas,3193,Donatas Motiejunas,20,F,2,0,0,donatas-motiejunas,motiedo01,10,,222,4902,0.0,0.0,0.0,0.0,2015-11-21,0.0,0.0,4600,0.0,0.0,0,0.0,0.0,5000,0.0,0.0,3800,0.0,0.0,0.0,0.0,0.0,0.0,6400,0.0,0.0,4000,0.0,0.0,80300,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19582,10,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
54,25,0,,SF,2,1986-03-05,3191,4,Corey,81,True,False,Brewer,1932,Corey Brewer,13,GF,2,4,0,corey-brewer,breweco01,10,,188,4285,2.3,0.154,0.3,0.01,2015-11-21,18.38,5.25,3500,14.93,0.0,0,17.38,2.57,6750,17.23,4.66,3700,2.3,0.11800000000000001,100.1,0.545,17.37,4.69,3700,17.53,4.61,3800,14.93,0.32,46300,18.08,5.17,3500,17.83,0.0,0,7.3,2.8,2.1,1.4,0.99,0.39,24.1,19582,10,-0.54,20,0.8,0.032,98.9,2.5,0.6,1.7,7.9,2016,16.95,0.0,0,1.4,0.03,1.1,0.11699999999999999,3.1,0.075,0.479,17.6,17.67,17.67,10
59,25,0,,C,1,1986-11-05,2774,4,Ian,83,True,False,Mahinmi,2623,Ian Mahinmi,28,C,2,5,0,ian-mahinmi,mahinia01,11,,230,0,0.9,0.057,1.4,0.039,2015-11-21,20.6,4.58,4500,17.5,0.0,0,19.38,2.27,8550,20.05,4.56,4400,4.7,0.203,98.8,0.509,19.61,4.09,4800,19.95,4.99,4000,17.5,0.22,79400,20.6,5.15,4000,19.95,0.0,0,5.6,2.8,2.6,0.5,1.0,1.0,27.6,19578,11,3.16,16,2.1,0.08900000000000001,106.2,0.0,0.0,3.6,7.4,2016,19.73,0.0,0,0.6,0.012,1.3,0.163,6.8,0.14400000000000002,0.547,13.6,19.61,14.01,14
62,34,0,,PG,3,1977-09-15,841,12,Jason,74,True,False,Terry,1992,Jason Terry,31,G,3,5,0,jason-terry,terryja01,10,,180,3333,0.9,0.091,0.1,0.006999999999999999,2015-11-21,8.88,2.96,3000,6.98,0.0,0,8.78,1.76,5000,8.03,2.68,3000,1.2,0.092,105.0,0.844,8.01,2.29,3500,8.08,2.31,3500,6.98,0.23,30800,8.43,3.83,2200,8.53,0.0,0,3.5,1.7,0.9,0.5,0.38,0.07,13.8,19582,10,-2.37,20,0.1,0.013999999999999999,95.8,2.3,0.9,1.3,4.6,2016,7.85,0.0,0,0.5,0.013999999999999999,0.7,0.124,1.3,0.054000000000000006,0.591,14.9,8.46,8.46,10
71,24,0,,SF,1,1987-03-18,2778,6,C.J.,78,True,False,Miles,2627,C.J. Miles,34,GF,2,5,0,cj-miles,milescj01,11,,232,0,1.5,0.08900000000000001,0.3,0.01,2015-11-21,20.6,4.38,4700,15.15,0.0,0,19.8,2.22,8900,18.83,4.28,4400,2.2,0.086,103.9,0.633,18.71,3.9,4800,18.85,4.71,4000,15.15,0.21,70700,19.55,4.89,4000,19.9,0.0,0,11.3,4.4,2.4,1.9,1.0,1.0,27.8,19578,11,-8.21,16,0.6,0.025,90.8,5.5,2.1,2.0,12.1,2016,18.48,0.0,0,0.9,0.018000000000000002,1.4,0.096,2.8,0.055,0.49,21.9,19.76,10.4,19
72,26,0,,PF,1,1985-02-10,3015,5,Paul,80,True,False,Millsap,2705,Paul Millsap,24,FC,2,6,0,paul-millsap,millspa01,1,,250,4175,3.4,0.16699999999999998,1.1,0.025,2015-11-21,37.35,4.55,8200,31.35,0.0,0,35.83,2.24,16000,35.3,4.77,7400,6.6,0.213,102.1,0.581,35.06,4.12,8500,35.5,5.63,6300,31.35,0.25,126900,36.8,4.66,7900,36.05,0.0,0,13.5,6.3,4.6,3.5,1.0,1.0,34.8,19579,1,3.98,5,2.2,0.076,106.3,3.1,1.1,2.9,16.8,2016,34.65,0.0,0,1.5,0.023,2.6,0.145,8.8,0.146,0.541,23.8,35.61,9.37,38
78,22,0,,SG,1,1989-08-26,3992,2,James,77,True,False,Harden,3018,James Harden,13,GF,2,5,0,james-harden,hardeja01,10,,220,4563,6.8,0.31,0.4,0.008,2015-11-21,44.6,4.37,10200,36.55,0.0,0,43.3,2.15,20100,40.8,4.53,9000,3.4,0.105,103.3,0.724,41.44,4.02,10300,41.65,5.78,7200,36.55,0.22,164600,43.35,4.42,9800,42.9,0.0,0,17.7,8.3,7.5,6.7,1.0,1.0,38.6,19582,10,19.36,20,0.8,0.027999999999999997,118.5,9.1,2.5,2.3,25.0,2016,39.95,0.0,0,1.9,0.027000000000000003,3.4,0.14400000000000002,4.2,0.068,0.609,29.2,42.69,8.71,49
81,21,0,,PG,1,1990-04-16,6443,0,Reggie,75,True,False,Jackson,3217,Reggie Jackson,25,G,3,5,0,reggie-jackson,jacksre01,8,,208,4906,6.3,0.337,0.2,0.005,2015-11-21,31.53,4.15,7600,25.13,0.0,0,30.1,2.14,14050,28.53,4.53,6300,3.2,0.113,107.9,0.561,29.19,3.74,7800,29.38,5.07,5800,25.13,0.23,111400,30.83,4.34,7100,30.08,0.0,0,13.5,5.7,4.3,3.6,1.0,1.0,33.2,19580,8,-5.83,30,0.5,0.018000000000000002,99.7,4.1,1.4,1.9,16.0,2016,27.8,0.0,0,0.9,0.015,2.9,0.159,3.7,0.064,0.507,25.8,29.89,9.34,32
87,27,0,,SG,2,1984-05-02,3028,5,Thabo,79,True,False,Sefolosha,2732,Thabo Sefolosha,2,GF,2,6,0,thabo-sefolosha,sefolth01,1,,215,4141,1.3,0.091,0.5,0.017,2015-11-21,15.83,4.17,3800,13.28,0.0,0,15.2,2.29,6650,14.98,4.68,3200,3.1,0.177,107.6,0.612,14.83,3.9,3800,15.03,3.96,3800,13.28,0.24,56300,15.58,7.08,2200,15.28,0.0,0,5.2,2.4,1.5,0.8,0.98,0.3,20.8,19579,1,-3.45,5,0.8,0.05,99.7,1.5,0.5,1.8,6.3,2016,14.7,0.0,0,1.0,0.024,1.1,0.168,3.9,0.113,0.535,15.0,15.08,15.08,10
89,26,0,,PF,1,1985-07-19,2983,5,LaMarcus,83,True,False,Aldridge,2502,LaMarcus Aldridge,12,FC,2,5,0,lamarcus-aldridge,aldrila01,27,,246,4130,1.4,0.08900000000000001,1.7,0.04,2015-11-21,35.25,5.18,6800,29.6,0.0,0,32.98,2.46,13400,34.4,4.2,8200,6.8,0.237,97.9,0.46,33.9,4.4,7700,34.35,6.19,5550,29.6,0.28,107000,35.15,4.63,7600,34.45,0.0,0,15.6,6.8,5.4,4.7,1.0,1.0,32.4,19583,27,5.37,14,2.2,0.075,104.0,0.8,0.2,2.7,18.0,2016,34.0,0.0,0,0.6,0.01,1.6,0.08199999999999999,9.0,0.158,0.502,28.7,34.0,10.63,32
